names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_CLA-EPd-CTX Car3 Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Kcnd2,3.5090191,0.6469349,0.00044976254786632705,0.012446055263818959,0.9767441860465116,0.9126234512479798,3.2893631,2.8618119
Twf2,3.5066283,0.84920233,0.0004538226500299868,0.012520987832276691,0.43023255813953487,0.20861914167714132,0.2048726,0.11885849
Epc2,3.5066016,0.5057321,0.000453868334523167,0.012520987832276691,0.7790697674418605,0.5576943796013647,0.650183,0.4977808
Stx17,3.50263,0.7339256,0.0004606887413084449,0.012694903613617732,0.5348837209302325,0.304722571377267,0.29489496,0.18749581
Akap7,3.5023823,0.5756092,0.0004611174516892782,0.012694903613617732,0.6046511627906976,0.3714490931944694,0.3789531,0.26939195
Ctnnb1,3.5013711,0.5506227,0.0004628709159517411,0.012730134607598038,0.6046511627906976,0.3766205782007542,0.3804641,0.27465475
Snph,3.497768,0.55509484,0.0004691690564648978,0.012890155978744175,0.8488372093023255,0.5375471359310469,0.63442075,0.47186136
Hdgfl3,3.4971385,0.59060544,0.0004702776460898262,0.012904284057932654,0.813953488372093,0.5882205063745736,0.7558034,0.55958366
Phyhd1,3.4969308,0.5506138,0.00047064378030420545,0.012904284057932654,0.4883720930232558,0.2550188543724187,0.2297693,0.1624212
Slc17a7,3.4961407,0.55144346,0.00047203988646782845,0.012929369775117787,0.9418604651162791,0.7139522355898725,1.2299072,0.97526836
Cacnb3,3.4926848,1.3455602,0.00047819039828895073,0.01305986731629533,0.38372093023255816,0.17177231100736218,0.22539502,0.09484096
Atl3,3.4926448,0.55174506,0.00047826235352566444,0.01305986731629533,0.6395348837209303,0.40843957622553423,0.40241507,0.29116204
Zfp949,3.4904213,0.6143528,0.0004822596535148193,0.013142638607920816,0.5813953488372093,0.3514455018854372,0.33188137,0.22880776
Trappc10,3.4904146,0.51117736,0.00048227174050651005,0.013142638607920816,0.5813953488372093,0.33973783444065364,0.3084423,0.22594625
Csnk1g3,3.4901,0.56057894,0.0004828401479312147,0.013144797137701864,0.872093023255814,0.6318908242054229,0.8539076,0.64947253
